,glucosa,alimento,minutos
0,88.933,kiwi,-25
1,89.642,kiwi,-20
2,90.654,kiwi,-15
3,91.828,kiwi,-10
4,92.871,kiwi,-5
5,93.021,kiwi,0
6,92.054,kiwi,5
7,91.466,kiwi,10
8,92.955,kiwi,15
9,97.432,kiwi,20
10,104.999,kiwi,25
11,114.867,kiwi,30
12,125.575,kiwi,35
13,135.409,kiwi,40
14,143.063,kiwi,45
15,148.097,kiwi,50
16,150.433,kiwi,55
17,150.351,kiwi,60
18,148.99,kiwi,65
19,147.497,kiwi,70
20,146.09,kiwi,75
21,144.429,kiwi,80
22,142.356,kiwi,85
23,140.029,kiwi,90
24,137.584,kiwi,95
25,134.789,kiwi,100
26,131.324,kiwi,105
27,127.24,kiwi,110
28,123.082,kiwi,115
29,119.342,kiwi,120
30,116.168,kiwi,125
31,113.4,kiwi,130
32,110.783,kiwi,135
33,108.018,kiwi,140
34,104.92,kiwi,145
35,101.715,kiwi,150
36,98.727,kiwi,155
37,96.198,kiwi,160
38,94.135,kiwi,165
39,92.106,kiwi,170
0,95.47,pan,-25
1,96.111,pan,-20
2,96.729,pan,-15
3,97.1,pan,-10
4,96.851,pan,-5
5,95.581,pan,0
6,93.548,pan,5
7,91.669,pan,10
8,90.399,pan,15
9,90.351,pan,20
10,92.382,pan,25
11,96.268,pan,30
12,101.155,pan,35
13,105.525,pan,40
14,107.307,pan,45
15,107.997,pan,50
16,111.733,pan,55
17,119.424,pan,60
18,127.496,pan,65
19,132.37,pan,70
20,133.669,pan,75
21,133.255,pan,80
22,132.588,pan,85
23,131.182,pan,90
24,128.078,pan,95
25,123.481,pan,100
26,118.34,pan,105
27,114.13,pan,110
28,111.917,pan,115
29,111.08,pan,120
30,110.532,pan,125
31,109.559,pan,130
32,107.892,pan,135
33,105.98,pan,140
34,103.849,pan,145
35,101.573,pan,150
36,99.641,pan,155
37,98.2,pan,160
38,97.276,pan,165
39,96.37,pan,170
40,90.734,banana,-25
41,90.672,banana,-20
42,91.026,banana,-15
43,91.652,banana,-10
44,91.921,banana,-5
45,91.27,banana,0
46,89.907,banana,5
47,89.185,banana,10
48,90.936,banana,15
49,96.18,banana,20
50,104.816,banana,25
51,116.163,banana,30
52,129.14,banana,35
53,142.324,banana,40
54,154.33,banana,45
55,164.109,banana,50
56,171.121,banana,55
57,175.202,banana,60
58,176.303,banana,65
59,174.685,banana,70
60,171.232,banana,75
61,167.461,banana,80
62,164.933,banana,85
63,163.845,banana,90
64,162.893,banana,95
65,160.872,banana,100
66,157.63,banana,105
67,153.739,banana,110
68,149.849,banana,115
69,146.265,banana,120
70,142.742,banana,125
71,139.051,banana,130
72,135.437,banana,135
73,132.156,banana,140
74,129.178,banana,145
75,126.337,banana,150
76,123.47,banana,155
77,120.461,banana,160
78,117.249,banana,165
79,113.81,banana,170
0,84.924,fideos,-25
1,84.853,fideos,-20
2,85.146,fideos,-15
3,85.362,fideos,-10
4,85.425,fideos,-5
5,85.325,fideos,0
6,85.329,fideos,5
7,86.201,fideos,10
8,88.786,fideos,15
9,93.575,fideos,20
10,100.397,fideos,25
11,108.395,fideos,30
12,116.44,fideos,35
13,123.634,fideos,40
14,129.511,fideos,45
15,134.07,fideos,50
16,137.814,fideos,55
17,141.612,fideos,60
18,146.272,fideos,65
19,152.018,fideos,70
20,158.32,fideos,75
21,164.136,fideos,80
22,168.295,fideos,85
23,169.753,fideos,90
24,167.9,fideos,95
25,162.999,fideos,100
26,156.106,fideos,105
27,148.352,fideos,110
28,140.464,fideos,115
29,132.99,fideos,120
30,126.616,fideos,125
31,121.878,fideos,130
32,118.81,fideos,135
33,117.04,fideos,140
34,116.131,fideos,145
35,115.823,fideos,150
36,115.899,fideos,155
37,115.868,fideos,160
38,115.006,fideos,165
39,112.913,fideos,170
